Price,Close,High,Low,Open,Volume
Ticker,NKE,NKE,NKE,NKE,NKE
Date,,,,,
2015-08-20,49.49153137207031,50.43905129625566,49.46508659412636,50.112928175198086,6536800
2015-08-21,47.09850311279297,49.20949653688045,47.085279037778136,49.12576087347609,15912800
2015-08-24,45.7763786315918,47.323262556604654,41.646940081820425,44.185421180643154,19882600
2015-08-25,45.62651824951172,47.29239466523916,45.60448485747322,47.27917395754872,13616200
2015-08-26,47.93144607543945,48.04162317440503,45.82486048119173,46.93544415933593,15156000
2015-08-27,49.63257598876953,49.66342543902547,48.314855590731206,48.640982193251524,13617400
2015-08-28,49.579681396484375,49.8000355360243,49.200672007488706,49.62375155192489,7526200
2015-08-31,49.2491455078125,49.57526866189086,49.01997870389347,49.53119851063762,7073600
2015-09-01,47.874141693115234,48.40299367355068,47.609717384066265,48.02839228886985,9385200
2015-09-02,48.78641128540039,48.82166875912231,48.12534878363433,48.54402371882215,8536400
2015-09-03,48.97639465332031,49.52425776185638,48.781993572083216,49.144290633176,6065000
2015-09-04,48.4638671875,48.790817295901334,48.1324978777943,48.256208547413024,7126200
2015-09-08,49.374027252197266,49.42704755537471,48.698034398283774,49.245897380998976,5511400
2015-09-09,48.53899002075195,49.921903771021135,48.42853355399635,49.798193067593076,6349800
2015-09-10,48.76873016357422,49.06033680703594,48.13250330933074,48.45061842188414,7363000
2015-09-11,49.40495300292969,49.41378803435169,48.59641110787263,48.70245171011353,5589600
2015-09-14,49.43588638305664,49.51099595684475,49.10451704719513,49.267993799730895,6833200
2015-09-15,50.29744338989258,50.403484000345976,48.95429603278022,49.440303699337555,7699400
2015-09-16,51.06623458862305,51.21203793394525,50.297455151940824,50.513952254097006,8104400
2015-09-17,50.92925262451172,51.60082965094478,50.61555674709924,50.915998391374465,8062600
2015-09-18,50.832061767578125,51.08831818045595,50.26210605720045,50.43441785674911,18615000
2015-09-21,51.49921798706055,51.733385139081676,50.703933510622576,51.1059932655791,8746600
2015-09-22,51.238548278808594,51.322496275399175,50.53604337078335,50.92043310316426,7555400
2015-09-23,50.99995422363281,51.51688962084488,50.898332802478144,51.23854056946841,9055800
2015-09-24,50.71718215942383,50.876239711362864,50.147226493452806,50.50068846906472,14352600
2015-09-25,55.22824478149414,55.64797809348768,54.21204372916883,54.40202902605175,36968200
2015-09-28,53.964603424072266,55.12218824391682,53.39464773248068,55.00731259104958,16450800
2015-09-29,52.87331008911133,53.94252806821656,52.59938016025388,53.9027653511364,14414400
2015-09-30,54.331329345703125,54.39760390229403,53.346056143907106,53.346056143907106,9437800
2015-10-01,54.711299896240234,54.75990101303521,53.58464254634055,54.41527736366278,8994200
2015-10-02,55.32101821899414,55.32101821899414,53.708353077320616,53.942520255181115,9114400
2015-10-05,54.90570831298828,55.8865624432777,54.82617950861713,55.5993749068894,9646400
2015-10-06,54.42853927612305,55.13987931767214,54.163441012271264,54.90570873515447,7665400
2015-10-07,53.94694137573242,54.985231560013965,53.46093356296915,54.61409942436844,10215400
2015-10-08,55.18846893310547,55.33426890278356,54.198776595061204,54.30923305834495,7622600
2015-10-09,55.20173645019531,55.37846413727674,54.826181687985894,55.033840428257584,6940600
2015-10-12,55.86003494262695,56.15605741386354,55.23705895872642,55.316587736014505,5449000
2015-10-13,55.58611297607422,55.90864735218789,55.48891074297519,55.670060972089544,6355400
2015-10-14,55.599365234375,55.93957303811358,55.40054494346771,55.665639788298705,6509000
2015-10-15,56.902740478515625,57.07063643592287,56.094201845371146,56.20907749451349,10764800
2015-10-16,57.645015716552734,57.69803265800644,56.93809170244379,57.21644412852983,9321600
2015-10-19,58.855613708496094,58.99257861833475,57.927776896059896,58.19287505439201,12587800
2015-10-20,58.484493255615234,58.92190333134061,58.307765589194176,58.784938378605034,9104200
2015-10-21,58.5286750793457,58.86004449057093,58.245906784769296,58.60820050201035,5504000
2015-10-22,58.502159118652344,58.961655010389734,57.69361704972388,58.70539522282822,9294800
2015-10-23,57.67152786254883,58.85120207716092,56.95577214040222,58.79376930083503,10517800
2015-10-26,58.047096252441406,58.42264426997685,57.55666917164766,57.55666917164766,6882800
2015-10-27,57.79967498779297,57.98524108090855,57.28715525915236,57.87920042410146,6150000
2015-10-28,58.0073127746582,58.34310473475316,57.406429350081766,58.197301395511,7091400
2015-10-29,57.93220138549805,58.086843124592825,57.41968854010071,57.73779693922823,4959000
2015-10-30,57.892433166503906,58.1531087665804,57.468284180231414,58.12218446674202,7230800
2015-11-02,57.96311950683594,58.32099727507506,57.198762869626115,58.201702438420114,6123200
2015-11-03,58.0559196472168,58.18846876347088,57.737804464898225,57.98523262804564,5492000
